zip_path,filename,condition,width,height,mode,sha256,size_bytes
VR_Image_dataset_final/C1/Scene029_C1.jpg,Scene029_C1.jpg,C1,1600,800,RGB,674b535820b9d58f7dfe2edceeec8987db6590f310994f8ff354cfb42b08f9f6,74079
VR_Image_dataset_final/C1/Scene030_C1.jpg,Scene030_C1.jpg,C1,1600,800,RGB,8af1e5e808c807a2e9e53cc92fe2e9a4ee5ad72f8a3dd336865a0d2d5f2c3908,251052
VR_Image_dataset_final/C1/Scene031_C1.jpg,Scene031_C1.jpg,C1,1600,800,RGB,7a91981bf4712c60407030b5cbbfcf9327d50de736bf53df8f028c6e9a48bf18,255709
VR_Image_dataset_final/C1/Scene032_C1.jpg,Scene032_C1.jpg,C1,1600,800,RGB,1940465ad0ea442f85fa47d42bb3308b493b64bc350ea7aab19e014d44f6b6d9,70116
VR_Image_dataset_final/C1/Scene033_C1.jpg,Scene033_C1.jpg,C1,1600,800,RGB,13e579a709293fddde3df20e99abbf7b83b016c8ada1114d31b7f59762eadfb7,363678
VR_Image_dataset_final/C1/Scene034_C1.jpg,Scene034_C1.jpg,C1,1600,800,RGB,04917e64273f99354cf5264847f9c2a50bd4432968edd5f88552d4578e8e2db3,127267
VR_Image_dataset_final/C1/Scene035_C1.jpg,Scene035_C1.jpg,C1,1600,800,RGB,7e4dccb6103bd61ef6ecd191dfd38abf0554eea239637d40f1c5467166a290d6,341773
VR_Image_dataset_final/C1/Scene036_C1.jpg,Scene036_C1.jpg,C1,1600,800,RGB,cfb4ed53703cade850be36a58ebfd9f592f4575dbc6f1ef90b5882e560e6ef77,375167
VR_Image_dataset_final/C1/Scene037_C1.jpg,Scene037_C1.jpg,C1,1600,800,RGB,e594a5cb3c52e73afa9e071c0c5b45bab77a959aa956a1be46f060d1e6d26f9d,253237
VR_Image_dataset_final/C1/Scene038_C1.jpg,Scene038_C1.jpg,C1,1600,800,RGB,8d3ae30579b88bd514966b44759d742e0544140dabf847902c6ff5fe72790ad3,173892
VR_Image_dataset_final/C1/Scene039_C1.jpg,Scene039_C1.jpg,C1,1600,800,RGB,379a3a0a572311d3afd549509185b2e9517b3760f20241ec66171d52bdbaca0c,230928
VR_Image_dataset_final/C1/Scene040_C1.jpg,Scene040_C1.jpg,C1,1600,800,RGB,88db7252e610f7b3d2982c3af8ad4fed02c5aa850296b2433e076e87fc22fc6e,172802
