Condition,AAS mean,AAS SD,AAS CI low,AAS CI high,CFS mean,CFS SD,CFS CI low,CFS CI high,TI mean,TI SD,TI CI low,TI CI high,Dual utility mean,Dual utility SD,Dual utility CI low,Dual utility CI high
C1,3.1726,0.7049287090539615,3.0374000000000008,3.3123999999999993,4.2614,0.664950852592608,4.1290000000000004,4.3867,1.135,0.5452040670679877,1.03,1.245,3.2380999999999993,0.4908263388913588,3.1425950000000005,3.3321024999999995
C2,3.5863,0.6833646038669121,3.4544,3.7224,4.5855,0.6139676808524315,4.4631,4.7013025,0.975,0.4043638225782581,0.895,1.055,3.603500000000001,0.450907894467295,3.5157000000000007,3.6899
C3,4.050199999999999,0.6815504902111587,3.9178975000000005,4.183002500000001,3.4337999999999997,0.807055728865702,3.2726000000000006,3.5867999999999993,3.145,0.5698440332426253,3.035,3.255,2.9391999999999996,0.4473461137134707,2.8503000000000003,3.0225999999999997
C4,4.4798,0.6641452013564869,4.3511,4.608499999999999,3.8179999999999996,0.8996351673558758,3.636295,3.9887,3.665,0.7318683714516656,3.52,3.805,3.2307000000000006,0.5332978302577048,3.1244,3.3316999999999997
C5,2.9455999999999993,0.6063624278757663,2.8283000000000005,3.0652,5.544999999999999,0.5632095973126262,5.4331925000000005,5.652099999999999,4.485,0.6721554353666489,4.355,4.61,3.188,0.4315089802078284,3.1014975000000002,3.2706025000000003
C6,4.3031,0.6106838276667701,4.1839975,4.4223025,5.329599999999999,0.7514362275272626,5.180400000000001,5.470999999999999,0.575,0.5521994589133915,0.47,0.685,4.339600000000001,0.47827112888744683,4.2446,4.4307
